Date;Open;High;Low;Close;Volume
Monday, August 31, 2020;24.20;24.20;24.20;24.20;--
Friday, August 28, 2020;24.26;24.26;24.26;24.26;--
Thursday, August 27, 2020;24.17;24.17;24.17;24.17;--
Wednesday, August 26, 2020;24.25;24.25;24.25;24.25;--
Tuesday, August 25, 2020;23.43;23.43;23.43;23.43;--
Monday, August 24, 2020;23.20;23.20;23.20;23.20;--
Friday, August 21, 2020;23.11;23.11;23.11;23.11;--
Thursday, August 20, 2020;22.94;22.94;22.94;22.94;--
Wednesday, August 19, 2020;22.69;22.69;22.69;22.69;--
Tuesday, August 18, 2020;22.63;22.63;22.63;22.63;--
Monday, August 17, 2020;22.56;22.56;22.56;22.56;--
Friday, August 14, 2020;22.32;22.32;22.32;22.32;--
Thursday, August 13, 2020;22.44;22.44;22.44;22.44;--
Wednesday, August 12, 2020;22.36;22.36;22.36;22.36;--
Tuesday, August 11, 2020;22.09;22.09;22.09;22.09;--
Monday, August 10, 2020;22.41;22.41;22.41;22.41;--
Friday, August 07, 2020;22.55;22.55;22.55;22.55;--
Thursday, August 06, 2020;22.90;22.90;22.90;22.90;--
Wednesday, August 05, 2020;22.87;22.87;22.87;22.87;--
Tuesday, August 04, 2020;22.85;22.85;22.85;22.85;--
Monday, August 03, 2020;22.84;22.84;22.84;22.84;--
Friday, July 31, 2020;22.48;22.48;22.48;22.48;--
Thursday, July 30, 2020;22.18;22.18;22.18;22.18;--
Wednesday, July 29, 2020;22.25;22.25;22.25;22.25;--
Tuesday, July 28, 2020;21.84;21.84;21.84;21.84;--
Monday, July 27, 2020;22.01;22.01;22.01;22.01;--
Friday, July 24, 2020;21.83;21.83;21.83;21.83;--
Thursday, July 23, 2020;22.14;22.14;22.14;22.14;--
Wednesday, July 22, 2020;22.61;22.61;22.61;22.61;--
Tuesday, July 21, 2020;22.70;22.70;22.70;22.70;--
Monday, July 20, 2020;23.07;23.07;23.07;23.07;--
Friday, July 17, 2020;22.35;22.35;22.35;22.35;--
Thursday, July 16, 2020;22.26;22.26;22.26;22.26;--
Wednesday, July 15, 2020;22.45;22.45;22.45;22.45;--
Tuesday, July 14, 2020;22.44;22.44;22.44;22.44;--
Monday, July 13, 2020;22.33;22.33;22.33;22.33;--
Friday, July 10, 2020;23.29;23.29;23.29;23.29;--
Thursday, July 09, 2020;23.42;23.42;23.42;23.42;--
Wednesday, July 08, 2020;23.08;23.08;23.08;23.08;--
Tuesday, July 07, 2020;22.69;22.69;22.69;22.69;--
Monday, July 06, 2020;22.78;22.78;22.78;22.78;--
Friday, July 03, 2020;22.44;22.44;22.44;22.44;--
Thursday, July 02, 2020;22.49;22.49;22.49;22.49;--
Wednesday, July 01, 2020;22.33;22.33;22.33;22.33;--
Tuesday, June 30, 2020;22.07;22.07;22.07;22.07;--
Monday, June 29, 2020;21.64;21.64;21.64;21.64;--
Friday, June 26, 2020;21.63;21.63;21.63;21.63;--
Thursday, June 25, 2020;21.98;21.98;21.98;21.98;--
Wednesday, June 24, 2020;21.62;21.62;21.62;21.62;--
Tuesday, June 23, 2020;21.97;21.97;21.97;21.97;--
Monday, June 22, 2020;21.96;21.96;21.96;21.96;--
Friday, June 19, 2020;21.74;21.74;21.74;21.74;--
Thursday, June 18, 2020;21.80;21.80;21.80;21.80;--
Wednesday, June 17, 2020;21.49;21.49;21.49;21.49;--
Tuesday, June 16, 2020;21.31;21.31;21.31;21.31;--
Monday, June 15, 2020;20.83;20.83;20.83;20.83;--
Friday, June 12, 2020;20.62;20.62;20.62;20.62;--
Thursday, June 11, 2020;20.23;20.23;20.23;20.23;--
Wednesday, June 10, 2020;21.14;21.14;21.14;21.14;--
Tuesday, June 09, 2020;20.92;20.92;20.92;20.92;--
Monday, June 08, 2020;20.95;20.95;20.95;20.95;--
Friday, June 05, 2020;20.80;20.80;20.80;20.80;--
Thursday, June 04, 2020;20.41;20.41;20.41;20.41;--
Wednesday, June 03, 2020;20.89;20.89;20.89;20.89;--
Tuesday, June 02, 2020;20.87;20.87;20.87;20.87;--
Monday, June 01, 2020;20.77;20.77;20.77;20.77;--
Friday, May 29, 2020;20.67;20.67;20.67;20.67;--
Thursday, May 28, 2020;20.33;20.33;20.33;20.33;--
Wednesday, May 27, 2020;20.39;20.39;20.39;20.39;--
Tuesday, May 26, 2020;20.43;20.43;20.43;20.43;--
Monday, May 25, 2020;20.66;20.66;20.66;20.66;--
Friday, May 22, 2020;20.65;20.65;20.65;20.65;--
Thursday, May 21, 2020;20.43;20.43;20.43;20.43;--
Wednesday, May 20, 2020;20.63;20.63;20.63;20.63;--
Tuesday, May 19, 2020;20.32;20.32;20.32;20.32;--
Monday, May 18, 2020;20.23;20.23;20.23;20.23;--
Friday, May 15, 2020;20.09;20.09;20.09;20.09;--
Thursday, May 14, 2020;20.02;20.02;20.02;20.02;--
Wednesday, May 13, 2020;19.75;19.75;19.75;19.75;--
Tuesday, May 12, 2020;20.00;20.00;20.00;20.00;--
Monday, May 11, 2020;20.41;20.41;20.41;20.41;--
Friday, May 08, 2020;20.15;20.15;20.15;20.15;--
Thursday, May 07, 2020;19.90;19.90;19.90;19.90;--
Wednesday, May 06, 2020;19.39;19.39;19.39;19.39;--
Tuesday, May 05, 2020;19.10;19.10;19.10;19.10;--
Monday, May 04, 2020;18.65;18.65;18.65;18.65;--
Friday, May 01, 2020;18.24;18.24;18.24;18.24;--
Thursday, April 30, 2020;18.90;18.90;18.90;18.90;--
Wednesday, April 29, 2020;19.12;19.12;19.12;19.12;--
Tuesday, April 28, 2020;18.43;18.43;18.43;18.43;--
